Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,playlist,downloaded
spotify:track:64G7Gr48iUUsrSqwtpLhu6,On the Beat,spotify:artist:0daNFtsGDQpGNgj9ZbH5Lb,The B. B. & Q. Band,spotify:album:3HmB0ysguGti05Bh2ITDHC,On the Beat (Disco Mix - Original 12 Inch Version),spotify:artist:0daNFtsGDQpGNgj9ZbH5Lb,The B. B. & Q. Band,1981,https://i.scdn.co/image/ab67616d0000b273c6c00bc6a71b75ec03b22463,1,1,357760,https://p.scdn.co/mp3-preview/7d1837591047d4ff20731f42fd2702ea1d49292e?cid=9950ac751e34487dbbe027c4fd7f8e99,false,0,ITB450800015,spotify:user:1145072126,2016-09-24T22:30:10Z,12_inch_disco,N
spotify:track:35xPnZxqS9epbCaw8MOxFr,He's the Greatest Dancer - 2006 Remaster,spotify:artist:6gkWznnJkdkwRPVcmnrays,Sister Sledge,spotify:album:6Wx25BBKR9mTNnndloRRWs,Definitive Groove: Sister Sledge,spotify:artist:6gkWznnJkdkwRPVcmnrays,Sister Sledge,2007-02-05,https://i.scdn.co/image/ab67616d0000b27383ecd2598914de23d0b974e0,1,7,374533,https://p.scdn.co/mp3-preview/cdb20291705983686caebee6d63b0ccbe5954ec7?cid=9950ac751e34487dbbe027c4fd7f8e99,false,44,USAT20616083,spotify:user:1145072126,2016-09-24T22:31:26Z,12_inch_disco,N
spotify:track:0G3fbPbE1vGeABDEZF0jeG,Good Times,spotify:artist:0Xf8oDAJYd2D0k3NLI19OV,CHIC,spotify:album:1UFBJkKiBe3Lzjr307UhuU,Risqué,spotify:artist:0Xf8oDAJYd2D0k3NLI19OV,CHIC,1979-07-30,https://i.scdn.co/image/ab67616d0000b273d237a27633d01d25fdaa1c33,1,1,495400,https://p.scdn.co/mp3-preview/50cf601802354e9717f21981660e2740bd9059a8?cid=9950ac751e34487dbbe027c4fd7f8e99,false,71,USAT20001676,spotify:user:1145072126,2016-09-24T22:31:34Z,12_inch_disco,N
spotify:track:7IQMKJNcppgahjNWVPmxkl,Give Me the Night - Edit,spotify:artist:4N8BwYTEC6XqykGvXXlmfv,George Benson,spotify:album:6MOO5U9nQ6tuGuvyOnFNfm,The Best of George Benson,spotify:artist:4N8BwYTEC6XqykGvXXlmfv,George Benson,1995-11-10,https://i.scdn.co/image/ab67616d0000b273f73748d9d869ff756993cfde,1,1,219560,https://p.scdn.co/mp3-preview/7099aa90963f2efa5eb716e3779a25bd5e119065?cid=9950ac751e34487dbbe027c4fd7f8e99,false,69,USWB19900127,spotify:user:1145072126,2016-09-24T22:31:45Z,12_inch_disco,N
spotify:track:5QVdcoYVUHU143cTfgmULG,A Night To Remember,spotify:artist:3REpOYo13YkVj1dFzda12A,Shalamar,spotify:album:6TCux89IlNjNcGDGjlRKvY,A Night To Remember,spotify:artist:3REpOYo13YkVj1dFzda12A,Shalamar,1999,https://i.scdn.co/image/ab67616d0000b273d530597bfd1855e118a9f6dc,1,1,211253,,false,47,GBAJE8200003,spotify:user:1145072126,2016-09-24T22:31:48Z,12_inch_disco,N
spotify:track:4rS4K30qVDExdjeU4feF4c,Keep the Fire Burning,spotify:artist:742YR9ZgF0tCO5juBfvPAU,Gwen McCrae,spotify:album:4s4o0cdIjRxqL92hFa30c9,On My Way,spotify:artist:742YR9ZgF0tCO5juBfvPAU,Gwen McCrae,1982,https://i.scdn.co/image/ab67616d0000b273b71f1099fa292977d42db8c8,1,3,344546,https://p.scdn.co/mp3-preview/2bf46225dab3228c16050cabcac8561203de84d2?cid=9950ac751e34487dbbe027c4fd7f8e99,false,61,USAT20705616,spotify:user:1145072126,2016-09-24T22:31:52Z,12_inch_disco,N
spotify:track:2RCOWNCxDIphjhqTtkwtwR,Love Come Down - Single Version,spotify:artist:4JCt4xrbbBB9blkKwNlcJ7,"Evelyn ""Champagne"" King",spotify:album:6W7na0F9qczswPzdb42rZO,"The Best Of Evelyn ""Champagne"" King",spotify:artist:4JCt4xrbbBB9blkKwNlcJ7,"Evelyn ""Champagne"" King",1990-04-09,https://i.scdn.co/image/ab67616d0000b273b5df10f314e760507c4f1fcd,1,9,220626,https://p.scdn.co/mp3-preview/c23451717432a2582c76a2f04eecb8d0b4ee2642?cid=9950ac751e34487dbbe027c4fd7f8e99,false,58,USRC18207928,spotify:user:1145072126,2016-09-24T22:32:01Z,12_inch_disco,N
spotify:track:2JXK3ELYkEcGTE4dsO4kYq,Love's Comin' At Ya - 2004 Digital Remaster,spotify:artist:0uMy5ZKVPBHauBYTTfCojq,Melba Moore,spotify:album:2H8dX8DEFqG96KEkzCv3Jd,Other Side Of The Rainbow,spotify:artist:0uMy5ZKVPBHauBYTTfCojq,Melba Moore,2010-01-01,https://i.scdn.co/image/ab67616d0000b273a5a09c88af35fbda8ae7b62d,1,1,343520,https://p.scdn.co/mp3-preview/702f5deec8699ca3e218493da95e716e258f4662?cid=9950ac751e34487dbbe027c4fd7f8e99,false,51,USCA20400341,spotify:user:1145072126,2016-09-24T22:32:16Z,12_inch_disco,N
spotify:track:6CTHTWHKsR1sX7p2tK8AnW,Hold Tight - Full Length Album Mix,spotify:artist:2fJ2vi4PUSxyvYaeq0FTbE,Change,spotify:album:1DvtnAjG7Nolt61eSaJV1r,Miracles,spotify:artist:2fJ2vi4PUSxyvYaeq0FTbE,Change,1981-02-03,https://i.scdn.co/image/ab67616d0000b273b74ad574c7257522c7506f63,1,2,268653,https://p.scdn.co/mp3-preview/6aaf18feb461b2b176b7ec89bc56c4a3f9287059?cid=9950ac751e34487dbbe027c4fd7f8e99,false,0,ITB450700044,spotify:user:1145072126,2016-09-24T22:32:28Z,12_inch_disco,N
spotify:track:6UjlpJhUqOQqv0hrb38IDI,Best of My Love,spotify:artist:64CuUOOirKmdAYLQSfaOyr,The Emotions,spotify:album:30OwtFBugzMGsAYhXzEBEP,The Best Of The Emotions: Best Of My Love,spotify:artist:64CuUOOirKmdAYLQSfaOyr,The Emotions,1996,https://i.scdn.co/image/ab67616d0000b273dd0994b3fe1beb8cb91dac8b,1,1,219933,https://p.scdn.co/mp3-preview/bab4cdde9055cb88662282c1db83b1bb82260317?cid=9950ac751e34487dbbe027c4fd7f8e99,false,55,USSM17700026,spotify:user:1145072126,2016-09-24T22:32:31Z,12_inch_disco,N
